Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Romania,2010,Energy generation and distribution,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-34.46430969238281,2236,1659539394367
Slovak Republic,2018,Total,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-21.31269073486328,353987,1659539394367
United Kingdom,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-22.184049606323242,155,1659539394367
France,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-7.804681777954102,789,1659539394367
Italy,2010,Total,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-8.636302947998047,49967,1659539394367
Poland,2010,Important energy consumers,Employment,Gender employment gap by firm size,Medium,Percent,-82.47789764404297,2561,1659539394367
Belgium,2010,Energy generation and distribution,Employment,Gender wage gap,,Percent,-16.590139389038086,1462,1659539394367
Spain,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-16.968669891357422,194,1659539394367
Belgium,2010,Energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-24.88697052001953,1509,1659539394367
Denmark,2018,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-8.248428344726562,1422,1659539394367
Romania,2010,Non-energy,Employment,Gender employment gap,,Percent,14.438579559326172,116919,1659539394367
Romania,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Tertiary education,Percent,-53.126808166503906,1186,1659539394367
Canada,2014,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-13.679699897766113,35339,1659539394367
Croatia,2010,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-14.594670295715332,6793,1659539394367
Malta,2018,Energy,Employment,Gender gap in hours worked,,Percent,-7.238370895385742,348,1659539394367
Australia,2014,Energy,Employment,Gender employment gap,,Percent,-85.54609680175781,25,1659539394367
Spain,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by contract type,Permanent contract,Percent,-79.18421936035156,1090,1659539394367
Spain,2014,Total,Employment,Gender employment gap by firm size,Small,Percent,-19.602359771728516,13664,1659539394367
Belgium,2018,Non-energy,Employment,Gender employment gap by firm size,Medium,Percent,7.212275981903076,18960,1659539394367
Slovenia,2014,Important energy consumers,Employment,Gender employment gap by contract type,Permanent contract,Percent,-77.1137924194336,2030,1659539394367
Norway,2018,Total,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-15.44668960571289,160666,1659539394367
Portugal,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-13.845060348510742,574,1659539394367
Cyprus,2018,Energy generation and distribution,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-51.48857116699219,25,1659539394367
Greece,2010,Energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-54.47100067138672,590,1659539394367
Portugal,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-8.764424324035645,638,1659539394367
Denmark,2018,Total,Employment,Gender gap in hours worked by firm size,Medium,Percent,-10.264699935913086,172725,1659539394367
Slovak Republic,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-51.82310104370117,2733,1659539394367
Poland,2010,Total,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,35.82025909423828,198490,1659539394367
Portugal,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-90.1607437133789,55,1659539394367
Sweden,2010,Total,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-3.712380886077881,50423,1659539394367
Malta,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-2.434417963027954,44,1659539394367
Canada,2014,Total,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-20.258089065551758,50548,1659539394367
Canada,2014,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-16.424610137939453,5956,1659539394367
Canada,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap,,Percent,-21.94852066040039,4163,1659539394367
Italy,2010,Non-energy,Employment,Gender employment gap,,Percent,7.208387851715088,98751,1659539394367
Croatia,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-92.13046264648438,55,1659539394367
Spain,2018,Energy,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-1.8340280055999756,1145,1659539394367
France,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-85.57717895507812,354,1659539394367
Finland,2014,Important energy consumers,Employment,Gender employment gap by firm size,Medium,Percent,-80.14601135253906,641,1659539394367
Canada,2010,Total,Employment,Gender employment gap by firm size,Small,Percent,-5.451553821563721,104279,1659539394367
Romania,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-2.201659917831421,306,1659539394367
Germany,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-41.41788101196289,4001,1659539394367
Netherlands,2018,Energy generation and distribution,Employment,Gender gap in hours worked,,Percent,-17.4135799407959,545,1659539394367
Czech Republic,2014,Energy,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-2.8278679847717285,15709,1659539394367
